MsgID.GLOBAL_HOME,1523174253.7336709,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1523174253.7772508,-122.3957501,37.7933099,10.0320000
MsgID.LOCAL_VELOCITY,1523174253.7772508,5.6900000,-0.0600000,-0.1800000
MsgID.LOCAL_POSITION,1523174253.7781060,3.1559706,0.1610504,-10.0326433
MsgID.LOCAL_VELOCITY,1523174253.7781060,5.6969562,-0.0659677,-0.1870757
MsgID.GLOBAL_POSITION,1523174253.9871109,-122.3957524,37.7933231,10.0020000
MsgID.LOCAL_VELOCITY,1523174253.9871109,6.3700000,-0.0600000,0.2700000
MsgID.LOCAL_POSITION,1523174253.9878306,4.6227374,-0.0409843,-10.0025282
MsgID.LOCAL_VELOCITY,1523174253.9878306,6.3805780,-0.0680616,0.2772426
MsgID.GLOBAL_POSITION,1523174254.2377846,-122.3957529,37.7933380,9.9650000
MsgID.LOCAL_VELOCITY,1523174254.2377846,7.4600000,-0.0100000,-0.0200000
MsgID.LOCAL_POSITION,1523174254.2383618,6.2749472,-0.0915861,-9.9652987
MsgID.LOCAL_VELOCITY,1523174254.2383618,7.4685616,-0.0143703,-0.0293879
MsgID.GLOBAL_POSITION,1523174254.4868393,-122.3957518,37.7933564,9.9920000
MsgID.LOCAL_VELOCITY,1523174254.4868393,8.2700000,0.0300000,-0.0900000
MsgID.LOCAL_POSITION,1523174254.4875534,8.3260345,0.0088932,-9.9921961
MsgID.LOCAL_VELOCITY,1523174254.4875534,8.2791462,0.0370293,-0.0922400
MsgID.STATE,1523174254.7322588,True,True
MsgID.GLOBAL_HOME,1523174254.7342553,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1523174254.7773089,-122.3957520,37.7933770,9.9960000
MsgID.LOCAL_VELOCITY,1523174254.7773089,8.6200000,0.0100000,0.0100000
MsgID.LOCAL_POSITION,1523174254.7781038,10.6097383,-0.0131584,-9.9961929
MsgID.LOCAL_VELOCITY,1523174254.7781038,8.6302977,0.0161813,0.0150071
MsgID.GLOBAL_POSITION,1523174254.9879444,-122.3957524,37.7933942,9.9860000
MsgID.LOCAL_VELOCITY,1523174254.9879444,8.2300000,0.0200000,0.0500000
MsgID.LOCAL_POSITION,1523174254.9885392,12.5289984,-0.0406324,-9.9869566
MsgID.LOCAL_VELOCITY,1523174254.9885392,8.2250690,0.0222507,0.0546609
MsgID.GLOBAL_POSITION,1523174255.2375367,-122.3957516,37.7934114,9.9810000
MsgID.LOCAL_VELOCITY,1523174255.2375367,6.3700000,0.0300000,-0.0500000
MsgID.LOCAL_POSITION,1523174255.2381611,14.4427414,0.0303964,-9.9815807
MsgID.LOCAL_VELOCITY,1523174255.2381611,6.3631659,0.0353447,-0.0509508
MsgID.GLOBAL_POSITION,1523174255.4890721,-122.3957532,37.7934239,9.9900000
MsgID.LOCAL_VELOCITY,1523174255.4890721,4.6400000,0.0100000,0.0200000
MsgID.LOCAL_POSITION,1523174255.4898829,15.8216667,-0.1142793,-9.9908581
MsgID.LOCAL_VELOCITY,1523174255.4898829,4.6432204,0.0167101,0.0211616
MsgID.STATE,1523174255.7329533,True,True
MsgID.GLOBAL_HOME,1523174255.7348344,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1523174255.7770529,-122.3957532,37.7934328,9.9850000
MsgID.LOCAL_VELOCITY,1523174255.7770529,3.0600000,0.0400000,0.0100000
MsgID.LOCAL_POSITION,1523174255.7777872,16.8142033,-0.1176320,-9.9853735
MsgID.LOCAL_VELOCITY,1523174255.7777872,3.0625236,0.0499955,0.0136569
MsgID.GLOBAL_POSITION,1523174255.9887378,-122.3957527,37.7934393,9.9850000
MsgID.LOCAL_VELOCITY,1523174255.9887378,1.6000000,0.0800000,0.0000000
MsgID.LOCAL_POSITION,1523174255.9894700,17.5333195,-0.0735598,-9.9856768
MsgID.LOCAL_VELOCITY,1523174255.9894700,1.6013343,0.0832476,0.0002765
MsgID.GLOBAL_POSITION,1523174256.2377784,-122.3957514,37.7934411,9.9860000
MsgID.LOCAL_VELOCITY,1523174256.2377784,0.1600000,0.0900000,-0.0100000
MsgID.LOCAL_POSITION,1523174256.2381778,17.7303467,0.0485882,-9.9863443
MsgID.LOCAL_VELOCITY,1523174256.2381778,0.1633066,0.0902803,-0.0111132
MsgID.GLOBAL_POSITION,1523174256.4877007,-122.3957494,37.7934387,9.9950000
MsgID.LOCAL_VELOCITY,1523174256.4877007,-1.0800000,0.0300000,0.0200000
MsgID.LOCAL_POSITION,1523174256.4882448,17.4624882,0.2233248,-9.9955730
MsgID.LOCAL_VELOCITY,1523174256.4882448,-1.0895959,0.0354682,0.0262409
MsgID.STATE,1523174256.7317173,True,True
MsgID.GLOBAL_HOME,1523174256.7337575,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,1523174256.7771323,-122.3957523,37.7934350,9.9900000
MsgID.LOCAL_VELOCITY,1523174256.7771323,-2.3100000,-0.0900000,0.0600000
MsgID.LOCAL_POSITION,1523174256.7777445,17.0496788,-0.0395873,-9.9909773
MsgID.LOCAL_VELOCITY,1523174256.7777445,-2.3185806,-0.0996513,0.0654425
MsgID.GLOBAL_POSITION,1523174256.9883814,-122.3957516,37.7934288,9.9950000
MsgID.LOCAL_VELOCITY,1523174256.9883814,-3.1300000,-0.0400000,0.0000000
MsgID.LOCAL_POSITION,1523174256.9891574,16.3670082,0.0233287,-9.9953337
MsgID.LOCAL_VELOCITY,1523174256.9891574,-3.1347172,-0.0471017,0.0041434
MsgID.GLOBAL_POSITION,1523174257.2400663,-122.3957511,37.7934219,9.9930000
MsgID.LOCAL_VELOCITY,1523174257.2400663,-2.8100000,-0.0300000,0.0900000
MsgID.LOCAL_POSITION,1523174257.2408841,15.6012602,0.0755862,-9.9930086
MsgID.LOCAL_VELOCITY,1523174257.2408841,-2.8111646,-0.0360642,0.0926814
MsgID.GLOBAL_POSITION,1523174257.4902925,-122.3957510,37.7934179,9.9760000
MsgID.LOCAL_VELOCITY,1523174257.4902925,-1.7200000,-0.0700000,0.0000000
